length,width,weight,deckHeight,robotArmLength,numberOfSolarPanels,scienceInstruments,image
<<<<<<< HEAD
6,1.56,360,"(83, 108)",1.8,2,"('seismometer', 'heat probe', 'radio science experiment')",../pics/mars.nasa.jpg
=======
6,1.56,360,"(83, 108)",1.8,2,"('seismometer', 'heat probe', 'radio science experiment')",../../pics/mars.nasa.jpg
>>>>>>> a08a271fb2c87009dcac5ce46e3abd23e353dbeb
